Date,Open,High,Low,Close,Adj Close,Volume
2022-11-20,1.416551,1.565107,1.334315,1.334315,1.334315,69109014
2022-11-21,1.331622,1.347773,1.244576,1.255803,1.255803,15185357
2022-11-22,1.257416,1.373882,1.256060,1.331149,1.331149,13157136
2022-11-23,1.333432,1.401949,1.272149,1.298518,1.298518,46881782
2022-11-24,1.298597,1.399520,1.282902,1.376589,1.376589,12158286
2022-11-25,1.375501,1.534025,1.353845,1.400514,1.400514,33628058
2022-11-26,1.401195,1.429898,1.349244,1.364939,1.364939,43773375
2022-11-27,1.364506,1.384601,1.315469,1.315469,1.315469,7301184
2022-11-28,1.315751,1.329345,1.281961,1.295093,1.295093,6250102
2022-11-29,1.294036,1.322258,1.278124,1.303769,1.303769,4903379
2022-11-30,1.304239,1.479522,1.302395,1.339892,1.339892,17522894
2022-12-01,1.340158,1.341336,1.288254,1.290675,1.290675,6659399
2022-12-02,1.291953,1.425843,1.277352,1.307385,1.307385,12288658
2022-12-03,1.306700,1.377918,1.300877,1.314702,1.314702,8027320
2022-12-04,1.314653,1.465958,1.314653,1.387223,1.387223,12347356
2022-12-05,1.387413,1.515986,1.359134,1.391309,1.391309,14118047
2022-12-06,1.391373,1.474103,1.362071,1.454684,1.454684,10585396
2022-12-07,1.454798,1.460563,1.371719,1.392107,1.392107,6244513
2022-12-08,1.391181,1.417119,1.334437,1.363871,1.363871,6249266
2022-12-09,1.364261,1.905007,1.327899,1.700540,1.700540,78262646
2022-12-10,1.700912,1.816968,1.511827,1.516556,1.516556,31771049
2022-12-11,1.516058,1.654020,1.462662,1.523438,1.523438,18163156
2022-12-12,1.521726,1.586100,1.468339,1.483301,1.483301,12102268
2022-12-13,1.484800,1.512427,1.338954,1.405344,1.405344,12070049
2022-12-14,1.405075,1.427099,1.348816,1.371255,1.371255,7615573
2022-12-15,1.374439,1.384283,1.337653,1.356786,1.356786,5384789
2022-12-16,1.356593,1.370569,1.136877,1.142920,1.142920,8129662
2022-12-17,1.143108,1.165794,1.013767,1.079141,1.079141,12271453
2022-12-18,1.078925,1.117574,1.035761,1.040467,1.040467,4344784
2022-12-19,1.040890,1.068692,0.880487,0.959279,0.959279,7124106
2022-12-20,0.960744,0.988294,0.896078,0.938125,0.938125,4730871
2022-12-21,0.938134,0.938586,0.860896,0.873704,0.873704,4393352
2022-12-22,0.873973,1.127198,0.835625,1.027162,1.027162,22418557
2022-12-23,1.027133,1.038282,0.948058,0.957006,0.957006,17088963
2022-12-24,0.957505,0.975671,0.921085,0.924433,0.924433,5055004
2022-12-25,0.924432,0.935517,0.894370,0.894657,0.894657,2577835
2022-12-26,0.894567,1.011183,0.893652,0.930696,0.930696,7065306
2022-12-27,0.931138,0.955402,0.916414,0.923668,0.923668,4574953
2022-12-28,0.921162,0.925702,0.869842,0.886091,0.886091,4192950
2022-12-29,0.885723,0.887118,0.843029,0.860231,0.860231,3766980
2022-12-30,0.860193,0.864752,0.826643,0.839048,0.839048,3608615
2022-12-31,0.838968,0.853502,0.835226,0.842688,0.842688,3001502
2023-01-01,0.842974,0.907710,0.824512,0.858197,0.858197,13031571
2023-01-02,0.858112,0.886477,0.850613,0.862300,0.862300,3696440
2023-01-03,0.862307,0.914465,0.850415,0.885161,0.885161,6924982
2023-01-04,0.885187,1.068981,0.881332,1.002601,1.002601,26230772
2023-01-05,1.002265,1.017911,0.924421,0.944760,0.944760,7914523
2023-01-06,0.944120,0.949979,0.905166,0.910447,0.910447,5311608
2023-01-07,0.910839,0.931361,0.904704,0.909451,0.909451,2924496
2023-01-08,0.909215,0.917587,0.878942,0.913005,0.913005,3333281
2023-01-09,0.913024,1.560420,0.907516,1.324995,1.324995,65043827
2023-01-10,1.328055,1.448672,1.203949,1.241227,1.241227,38377440
2023-01-11,1.240625,1.442012,1.178705,1.283762,1.283762,34552668
2023-01-12,1.302083,1.493856,1.289100,1.380811,1.380811,28753405
2023-01-13,1.376375,1.383425,1.345150,1.380486,1.380486,20295322
